집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210406,00,0,1,00,0,2094,73,101,533,125,30,2956,
20210406,00,0,1,00,1,719,23,29,75,12,49,907,
20210406,00,0,1,10,0,80,2,2,6,1,1,92,
20210406,00,0,1,10,1,3,1,0,0,0,1,5,
20210406,00,0,1,44,0,45,1,1,10,3,5,65,
20210406,00,0,1,44,1,10,0,0,0,0,1,11,
20210406,00,0,1,08,0,69,3,4,9,4,2,91,
20210406,00,0,1,08,1,5,0,1,0,0,0,6,
20210406,00,0,1,26,1,52,0,1,0,0,1,54,
20210406,00,0,1,43,1,10,0,0,1,0,0,11,
20210406,00,0,1,01,0,23,1,1,6,4,0,35,
20210406,00,0,1,34,0,25,0,0,5,1,0,31,
20210406,00,0,1,11,0,91,3,2,7,4,7,114,
20210406,00,0,1,18,0,50,5,4,15,3,0,77,
20210406,00,0,1,28,0,69,0,0,5,0,7,81,
20210406,00,0,1,37,0,17,0,0,20,4,1,42,
20210406,00,0,1,46,0,1,0,0,0,2,0,3,
20210406,00,0,2,00,0,9718,1253,791,1450,1433,444,15089,
20210406,00,0,2,00,1,3491,239,99,278,307,169,4583,
20210406,00,0,2,24,1,3,2,0,0,0,0,5,
20210406,00,0,2,10,0,510,16,21,27,29,32,635,
20210406,00,0,2,10,1,29,2,1,4,0,0,36,
20210406,00,0,2,44,0,282,28,14,28,53,17,422,
20210406,00,0,2,44,1,22,0,2,0,0,0,24,
20210406,00,0,2,27,1,275,1,2,0,0,20,298,
20210406,00,0,2,08,0,337,19,3,17,25,13,414,
20210406,00,0,2,08,1,7,0,0,0,0,1,8,
20210406,00,0,2,26,1,95,0,0,0,0,10,105,
20210406,00,0,2,43,1,59,2,0,0,0,6,67,
20210406,00,0,2,01,0,994,61,129,206,270,27,1687,
20210406,00,0,2,34,0,290,28,20,22,31,19,410,
20210406,00,0,2,11,0,475,48,42,27,32,41,665,
20210406,00,0,2,18,0,332,65,80,101,118,24,720,
20210406,00,0,2,28,0,344,14,13,18,8,21,418,
20210406,00,0,2,37,0,49,5,0,15,124,10,203,
20210406,00,0,2,46,0,14,1,7,4,9,0,35,
20210406,00,1,1,00,0,2763,96,111,606,173,278,4027,
20210406,00,1,1,00,1,854,24,28,70,27,67,1070,
20210406,00,1,1,24,1,2,0,1,0,0,0,3,
20210406,00,1,1,10,0,100,3,2,5,0,9,119,
20210406,00,1,1,10,1,5,0,0,0,1,3,9,
20210406,00,1,1,44,0,53,1,3,6,3,9,75,
20210406,00,1,1,44,1,7,0,0,0,0,0,7,
20210406,00,1,1,08,0,100,1,5,6,2,13,127,
20210406,00,1,1,08,1,8,0,2,0,0,0,10,
20210406,00,1,1,26,1,70,1,0,2,0,6,79,
20210406,00,1,1,43,1,62,2,1,7,1,8,81,
20210406,00,1,1,01,0,30,0,2,10,4,3,49,
20210406,00,1,1,34,0,32,0,0,1,0,1,34,
20210406,00,1,1,11,0,102,3,0,7,4,11,127,
20210406,00,1,1,18,0,50,3,2,18,12,5,90,
20210406,00,1,1,28,0,86,0,1,4,0,8,99,
20210406,00,1,1,37,0,15,0,1,11,4,3,34,
20210406,00,1,1,46,0,0,0,0,1,0,1,2,
20210406,00,1,2,00,0,12609,1158,899,1740,1768,560,18734,
20210406,00,1,2,00,1,4156,243,162,267,359,219,5406,
20210406,00,1,2,10,0,539,23,19,22,29,29,661,
20210406,00,1,2,10,1,48,1,1,2,1,3,56,
